,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
radius_mean,1.0,0.32378189092773274,0.9978552814938113,0.9873571700566119,0.17058118749299475,0.5061235775263626,0.6767635503908116,0.8225285223871791,0.14774124199260222,-0.3116308263092901,0.6790903880020752,-0.09731744314481341,0.6741716157641062,0.7358636632128175,-0.22260012458211118,0.20599998040769918,0.194203622761509,0.3761689559399256,-0.10432088141786555,-0.04264126911445617,0.9695389726112053,0.2970076439863734,0.9651365139559878,0.9410824595860459,0.1196161399216085,0.4134628230608023,0.5269114618385443,0.7442141978674656,0.16395333493630726,0.007065885692182505
texture_mean,0.32378189092773274,1.0,0.3295330586865708,0.321085696080207,-0.02338851599842355,0.2367022220743719,0.3024178279438913,0.29346405131394243,0.07140098048331711,-0.07643718344813386,0.27586867617376215,0.3863576227244903,0.28167311478720247,0.2598449866100983,0.006613777353585289,0.19197461132396662,0.14329307656049847,0.16385102528521825,0.009127167755036037,0.054457519568933646,0.3525729471502958,0.9120445888404215,0.35803957505322437,0.3435459471864692,0.07750335882212896,0.2778295924789796,0.3010252238164908,0.2953158433377365,0.10500791031597177,0.11920535139708544
perimeter_mean,0.9978552814938113,0.3295330586865708,1.0,0.9865068039913906,0.20727816369100655,0.556936210879562,0.7161356501174044,0.8509770412528199,0.18302721211685288,-0.2614769080663339,0.6917650135334821,-0.08676107831179487,0.693134889540866,0.7449826941190679,-0.2026940262983221,0.2507436807405883,0.2280823453936579,0.4072169159986187,-0.08162932702839946,-0.005523391057003975,0.9694763634663142,0.30303837155714997,0.9703868870426388,0.9415498080023057,0.1505494043170372,0.455774228038327,0.5638792634736616,0.7712407893605479,0.18911504046245725,0.05101852972340659
area_mean,0.9873571700566119,0.321085696080207,0.9865068039913906,1.0,0.1770283772540013,0.49850168215241164,0.6859828285519113,0.823268868652435,0.1512930790351123,-0.2831098116914262,0.7325622269972976,-0.06628021360457748,0.7266283277906854,0.8000859212343217,-0.16677666660111248,0.2125825507792329,0.20766006048256938,0.37232028233071035,-0.07249658821176269,-0.01988696323506802,0.9627460860470841,0.2874886271213974,0.959119574355266,0.9592133256499006,0.12352293875557119,0.3904103092424995,0.5126059204433245,0.722016626260358,0.14356991388907145,0.0037375973515715428
smoothness_mean,0.17058118749299475,-0.02338851599842355,0.20727816369100655,0.1770283772540013,1.0,0.6591232152159219,0.5219837677142599,0.5536951727437602,0.557774788072887,0.5847920019499777,0.3014670982531695,0.06840644817118242,0.2960919328935148,0.2465524316657357,0.3323754426475921,0.31894329670537885,0.24839567988255556,0.3806756909832853,0.20077437592048303,0.2836066985468849,0.2131201418959488,0.036071798785646245,0.2388526262091505,0.2067183634285763,0.8053241954943631,0.4724684437304436,0.4349257147250865,0.5030533532989501,0.39430948181175646,0.49931636859376605
compactness_mean,0.5061235775263626,0.2367022220743719,0.556936210879562,0.49850168215241164,0.6591232152159219,1.0,0.8831206701772499,0.8311350431336992,0.602641048405516,0.5653686634145229,0.4974734460850615,0.04620483071640686,0.5489052645888234,0.45565285198788913,0.13529926770047143,0.7387217896603926,0.5705168714898888,0.6422618509716465,0.22997659080143187,0.5073181269004221,0.5353153982176657,0.24813283327741745,0.590210427731298,0.5096038055579197,0.5655411663750876,0.8658090398022638,0.8162752498000281,0.8155732235690654,0.5102234299218059,0.6873823227538962
concavity_mean,0.6767635503908116,0.3024178279438913,0.7161356501174044,0.6859828285519113,0.5219837677142599,0.8831206701772499,1.0,0.9213910263788594,0.5006666171419625,0.3367833594211852,0.6319248221414899,0.07621834813534009,0.6603907872419623,0.6174268058452416,0.0985637457991173,0.6702788246430197,0.6912702075448516,0.6832599165123265,0.17800920792087796,0.44930074905033873,0.6882364076436723,0.2998788887096911,0.7295649165132022,0.6759872313060878,0.44882203840476104,0.7549680159063971,0.8841026390943831,0.8613230336379504,0.409464126539986,0.5149298906363866
concave points_mean,0.8225285223871791,0.29346405131394243,0.8509770412528199,0.823268868652435,0.5536951727437602,0.8311350431336992,0.9213910263788594,1.0,0.4624973883673589,0.16691738322699232,0.6980498335607405,0.021479581923401665,0.710649871613899,0.6902985397595536,0.027653308387136182,0.49042424959357267,0.4391670684742616,0.6156341308969191,0.09535078688667682,0.2575837462430334,0.8303176311186149,0.2927517130015175,0.8559231281343112,0.8096296199096177,0.45275305417904876,0.6674536768257113,0.7523994975749646,0.9101553142985934,0.37574414542361134,0.36866113371677073
symmetry_mean,0.14774124199260222,0.07140098048331711,0.18302721211685288,0.1512930790351123,0.557774788072887,0.602641048405516,0.5006666171419625,0.4624973883673589,1.0,0.47992133005096926,0.30337926320726255,0.12805292634025622,0.3138927607965134,0.2239702194176301,0.18732116526139064,0.4216591470050111,0.34262702307772075,0.3932978720890169,0.44913654239342926,0.331786146273124,0.18572775349568774,0.0906506881166427,0.21916855911105804,0.177193377374097,0.4266750263849472,0.47320001324461836,0.4337210075901724,0.4302966114579541,0.6998257976437318,0.43841349844460287
fractal_dimension_mean,-0.3116308263092901,-0.07643718344813386,-0.2614769080663339,-0.2831098116914262,0.5847920019499777,0.5653686634145229,0.3367833594211852,0.16691738322699232,0.47992133005096926,1.0,0.00011099507262940723,0.16417396587172894,0.03982993157204707,-0.09017024752042735,0.401964425448413,0.5598366906211333,0.4466303216995713,0.34119804439711793,0.34500739714372775,0.6881315774585518,-0.2536914948766099,-0.05126920203676508,-0.2051512112627737,-0.231854451167561,0.504942075351762,0.4587981566678599,0.34623387634806796,0.17532544924324472,0.33401868385108285,0.7672967792384351
radius_se,0.6790903880020752,0.27586867617376215,0.6917650135334821,0.7325622269972976,0.3014670982531695,0.4974734460850615,0.6319248221414899,0.6980498335607405,0.30337926320726255,0.00011099507262940723,1.0,0.21324733725115766,0.9727936770160752,0.95183011211099,0.16451421981281122,0.35606457553220233,0.3323575376076101,0.5133464414367644,0.24056736245007107,0.2277535326719804,0.7150651951351847,0.19479855683425118,0.7196838036650056,0.7515484761266196,0.14191855291860694,0.28710316560074006,0.38058463462872233,0.5310623278216042,0.09454283035438174,0.049559432464573054
texture_se,-0.09731744314481341,0.3863576227244903,-0.08676107831179487,-0.06628021360457748,0.06840644817118242,0.04620483071640686,0.07621834813534009,0.021479581923401665,0.12805292634025622,0.16417396587172894,0.21324733725115766,1.0,0.22317072863071377,0.11156724721803955,0.39724285264120923,0.23169969897623746,0.1949984644588188,0.23028339955703334,0.41162068019753906,0.27972274771919403,-0.11169031312493034,0.4090027663153055,-0.10224192188743313,-0.08319498858504669,-0.07365765910118538,-0.09243935361819389,-0.06895622054645618,-0.11963752313984637,-0.12821475779252972,-0.045654568593207066
perimeter_se,0.6741716157641062,0.28167311478720247,0.693134889540866,0.7266283277906854,0.2960919328935148,0.5489052645888234,0.6603907872419623,0.710649871613899,0.3138927607965134,0.03982993157204707,0.9727936770160752,0.22317072863071377,1.0,0.9376554069544158,0.15107533120841277,0.4163223679924622,0.3624815822704492,0.5562640836543972,0.2664870918640225,0.24414277341628593,0.6972005927206462,0.2003708539594513,0.7210313099890179,0.7307129731302835,0.1300543919910099,0.341919445371206,0.4188988157305724,0.554897230628211,0.10993043423135032,0.08543257205665733
area_se,0.7358636632128175,0.2598449866100983,0.7449826941190679,0.8000859212343217,0.2465524316657357,0.45565285198788913,0.6174268058452416,0.6902985397595536,0.2239702194176301,-0.09017024752042735,0.95183011211099,0.11156724721803955,0.9376554069544158,1.0,0.0751503381219939,0.284840056541161,0.270894726190632,0.4157295683714004,0.13410897969247484,0.12707090297801266,0.7573731889240161,0.19649664907281042,0.761212636068759,0.8114079609317285,0.12538943051609133,0.2832565375374558,0.38510013559852974,0.5381663138957362,0.07412629159952809,0.017539295132385384
smoothness_se,-0.22260012458211118,0.006613777353585289,-0.2026940262983221,-0.16677666660111248,0.3323754426475921,0.13529926770047143,0.0985637457991173,0.027653308387136182,0.18732116526139064,0.401964425448413,0.16451421981281122,0.39724285264120923,0.15107533120841277,0.0751503381219939,1.0,0.3366960805054451,0.2686847598722628,0.3284294991096792,0.4135061252078975,0.42737420672315873,-0.23069070984514775,-0.0747429648767562,-0.2173037545818619,-0.18219547805909875,0.3144574559808277,-0.05555813871505079,-0.058298386743445355,-0.10200679633746514,-0.10734209778914458,0.10148031504252501
compactness_se,0.20599998040769918,0.19197461132396662,0.2507436807405883,0.2125825507792329,0.31894329670537885,0.7387217896603926,0.6702788246430197,0.49042424959357267,0.4216591470050111,0.5598366906211333,0.35606457553220233,0.23169969897623746,0.4163223679924622,0.284840056541161,0.3366960805054451,1.0,0.8012683427383301,0.7440826676953249,0.39471283476203217,0.8032688176617685,0.2046071659474817,0.14300258329571663,0.26051583964720887,0.199371329091014,0.22739423230542344,0.6787803543724954,0.6391466977559199,0.48320832682561426,0.277878430714635,0.5909727625047899
concavity_se,0.194203622761509,0.14329307656049847,0.2280823453936579,0.20766006048256938,0.24839567988255556,0.5705168714898888,0.6912702075448516,0.4391670684742616,0.34262702307772075,0.4466303216995713,0.3323575376076101,0.1949984644588188,0.3624815822704492,0.270894726190632,0.2686847598722628,0.8012683427383301,1.0,0.771803994923847,0.3094285779844514,0.7273721838811942,0.18690351568589783,0.10024098374834615,0.22668042559090118,0.1883526520895306,0.1684813207913676,0.48485780068646944,0.6625641337427421,0.4404722630462227,0.19778782186141072,0.43932926857579174
concave points_se,0.3761689559399256,0.16385102528521825,0.4072169159986187,0.37232028233071035,0.3806756909832853,0.6422618509716465,0.6832599165123265,0.6156341308969191,0.3932978720890169,0.34119804439711793,0.5133464414367644,0.23028339955703334,0.5562640836543972,0.4157295683714004,0.3284294991096792,0.7440826676953249,0.771803994923847,1.0,0.31278022320973337,0.6110441393807232,0.35812666924104286,0.08674120994286848,0.39499925177418455,0.3422711620926817,0.21535059681593388,0.4528883773698813,0.5495923752351923,0.6024496059209876,0.14311566863305022,0.3106545514938306
symmetry_se,-0.10432088141786555,0.009127167755036037,-0.08162932702839946,-0.07249658821176269,0.20077437592048303,0.22997659080143187,0.17800920792087796,0.09535078688667682,0.44913654239342926,0.34500739714372775,0.24056736245007107,0.41162068019753906,0.2664870918640225,0.13410897969247484,0.4135061252078975,0.39471283476203217,0.3094285779844514,0.31278022320973337,1.0,0.3690780833657288,-0.12812076907274242,-0.07747342018407907,-0.10375304384332523,-0.11034274289549861,-0.012661799565908748,0.06025487946536667,0.03711904859992842,-0.03041339642360097,0.3894024848846454,0.07807947627266763
fractal_dimension_se,-0.04264126911445617,0.054457519568933646,-0.005523391057003975,-0.01988696323506802,0.2836066985468849,0.5073181269004221,0.44930074905033873,0.2575837462430334,0.331786146273124,0.6881315774585518,0.2277535326719804,0.27972274771919403,0.24414277341628593,0.12707090297801266,0.42737420672315873,0.8032688176617685,0.7273721838811942,0.6110441393807232,0.3690780833657288,1.0,-0.03748761786267336,-0.0031950288680895876,-0.0010003976259667909,-0.022736147308900514,0.17056831595314215,0.3901588420866753,0.37997466145707925,0.21520401331002892,0.11109395575572406,0.5913280656608751
radius_worst,0.9695389726112053,0.3525729471502958,0.9694763634663142,0.9627460860470841,0.2131201418959488,0.5353153982176657,0.6882364076436723,0.8303176311186149,0.18572775349568774,-0.2536914948766099,0.7150651951351847,-0.11169031312493034,0.6972005927206462,0.7573731889240161,-0.23069070984514775,0.2046071659474817,0.18690351568589783,0.35812666924104286,-0.12812076907274242,-0.03748761786267336,1.0,0.35992075422104775,0.993707916102951,0.9840145644590724,0.21657443125969592,0.4758200374601463,0.5739747080993034,0.7874238517122413,0.24352920429131314,0.09349197867930158
